Date,Open,High,Low,Close,Volume
07/18/2019,"4.39","4.42","4.12","4.20","8,601,213"
07/17/2019,"4.63","4.65","4.33","4.38","7,643,148"
07/16/2019,"4.76","4.81","4.63","4.63","5,970,224"
07/15/2019,"4.87","4.89","4.75","4.75","3,068,520"
07/12/2019,"4.86","4.93","4.81","4.91","4,392,345"
07/11/2019,"4.98","5.01","4.73","4.84","16,778,250"
07/10/2019,"5.35","5.37","5.17","5.18","10,853,330"
07/09/2019,"5.48","5.55","5.28","5.31","11,721,860"
07/08/2019,"5.50","5.53","5.42","5.45","6,592,669"
07/05/2019,"5.30","5.64","5.27","5.52","12,894,650"
07/03/2019,"5.41","5.43","5.27","5.31","2,562,102"
07/02/2019,"5.35","5.45","5.32","5.38","5,643,464"
07/01/2019,"5.53","5.57","5.34","5.36","4,325,679"
06/28/2019,"5.53","5.58","5.44","5.47","3,896,355"
06/27/2019,"5.46","5.59","5.43","5.54","3,755,957"
06/26/2019,"5.47","5.52","5.38","5.47","3,551,794"
06/25/2019,"5.34","5.53","5.32","5.45","3,085,403"
06/24/2019,"5.41","5.47","5.28","5.37","4,823,326"
06/21/2019,"5.52","5.52","5.31","5.42","8,954,331"
06/20/2019,"5.66","5.69","5.52","5.53","3,933,792"
06/19/2019,"5.75","5.75","5.61","5.63","2,973,321"
06/18/2019,"5.71","5.83","5.67","5.73","4,070,383"
06/17/2019,"5.63","5.81","5.60","5.70","3,686,620"
06/14/2019,"5.70","5.83","5.61","5.63","5,304,641"
06/13/2019,"5.55","5.73","5.49","5.70","5,840,816"
06/12/2019,"5.68","5.80","5.50","5.50","4,914,298"
06/11/2019,"5.53","5.85","5.49","5.72","13,423,840"
06/10/2019,"5.37","5.55","5.29","5.44","18,926,490"
06/07/2019,"5.13","5.23","4.99","5.02","10,591,330"
06/06/2019,"4.98","5.13","4.84","5.13","13,558,020"
06/05/2019,"5.49","5.59","4.71","5.04","39,354,238"
06/04/2019,"7.58","7.85","7.52","7.82","10,430,120"
06/03/2019,"7.58","7.65","7.42","7.47","5,229,101"
05/31/2019,"7.47","7.66","7.32","7.58","3,983,240"
